,bt,km,ownerno,oem,model,insurance validity,fuel type,transmission,mileage,engine,torque,engine and transmission,displacement,no of cylinder,values per cylinder,dimensions & capacity,length,width,height,seating capacity,turning radius,top speed,no door numbers,wheel size,alloy wheel size,city,bhp,rpm,reg_age,price_in_lakhs
215,2,90000,2,9,90,2,4,1,18.6,1197,114.7,11.0,1197,4.0,4.0,7.0,3985,1734,1505,5,52,170.0,5,16.0,16.0,0,8183.0,6000.0,9,6.25
216,8,90000,4,21,200,5,1,0,14.21,2143,500.0,10.0,2143,4.0,4.0,8.0,4868,1854,1471,5,56,242.0,4,17.0,17.0,0,203.0,203.0,13,10.0
217,8,120000,1,30,281,5,1,1,21.43,1364,205.0,11.0,1364,4.0,4.0,7.0,4620,1776,1475,5,53,165.0,4,15.0,15.0,0,872.0,3800.0,13,6.0
218,8,25170,1,20,180,4,4,1,22.41,1197,113.0,6.0,1197,4.0,4.0,7.0,3995,1735,1515,5,48,165.0,4,15.0,15.0,0,8850.0,6000.0,9,6.75
219,8,25022,1,20,163,2,4,1,20.65,1462,138.0,9.0,1462,4.0,4.0,6.0,4490,1730,1485,5,54,165.0,4,15.0,15.0,0,10325.0,103.0,3,8.93
220,2,100000,2,20,179,5,1,1,22.9,1248,190.0,13.0,1248,4.0,4.0,8.0,3850,1695,1530,5,48,158.0,5,14.0,14.0,0,74.0,4000.0,12,4.2
221,8,26367,1,20,163,6,4,1,20.65,1462,138.0,9.0,1462,4.0,4.0,6.0,4490,1730,1485,5,54,165.0,4,15.0,15.0,0,10325.0,103.0,4,9.41
222,8,76567,2,9,75,6,4,0,14.5,1797,177.5,13.0,1797,4.0,4.0,8.0,4530,1775,1470,5,53,191.0,4,16.0,16.0,0,1475.0,147.0,9,6.3
223,4,120000,2,30,289,5,1,1,12.99,2494,200.0,11.0,2494,4.0,4.0,8.0,4585,1765,1760,7,54,155.0,5,15.0,15.0,0,1006.0,100.0,11,12.75
224,2,36459,2,9,77,2,4,0,18.9,1197,114.0,11.0,1197,4.0,4.0,7.0,3765,1660,1520,5,48,163.0,5,14.0,14.0,0,82.0,6000.0,9,5.25
225,7,93725,1,20,178,2,1,1,23.65,1248,200.0,11.0,1248,4.0,4.0,6.0,4300,1785,1595,5,52,160.0,5,16.0,16.0,0,885.0,4000.0,8,7.5
226,8,115599,2,20,163,2,4,0,19.12,1373,130.0,13.0,1373,4.0,4.0,8.0,4490,1730,1485,5,54,190.0,4,16.0,16.0,0,911.0,6000.0,8,6.32
227,8,43469,1,20,180,6,4,1,22.41,1197,113.0,6.0,1197,4.0,4.0,7.0,3995,1735,1515,5,48,165.0,4,15.0,15.0,0,8850.0,6000.0,8,6.45
228,8,70000,4,6,56,5,4,1,13.8,1299,10.7,13.0,1299,4.0,2.0,5.0,4140,1634,1379,5,49,157.0,4,13.0,13.0,0,70.0,500.0,19,5.0
229,7,77000,2,1,23,2,1,0,13.38,2993,620.0,9.0,2993,6.0,4.0,7.0,4922,2218,1745,5,53,165.0,5,20.0,20.0,0,26150.0,261.0,5,67.95
230,7,100000,1,20,183,2,1,1,24.3,1248,200.0,12.0,1248,4.0,4.0,6.0,3995,1790,1640,5,52,172.0,5,16.0,16.0,0,885.0,4000.0,6,8.5
231,8,72000,1,23,220,5,4,1,14.7,1999,17.8,13.0,1999,4.0,4.0,8.0,4480,1695,1455,5,49,180.0,4,15.0,15.0,0,115.0,115.0,16,2.99
232,8,77000,1,11,99,2,1,0,16.36,2179,450.0,11.0,2179,4.0,4.0,8.0,4961,1877,1460,5,575,225.0,4,20.0,20.0,0,1877.0,187.0,11,20.95
